,Professional,Country,DeveloperType,HaveWorkedLanguage,WantWorkLanguage
33595,Student,Indonesia,General,JavaScript; PHP,C++; Java; JavaScript; Objective-C; PHP; Python; Ruby
33618,Student,Italy,General,C; C++; C#; Java; JavaScript; Lua; Python; SQL,Java; SQL; Swift
33622,Student,Spain,General,C; Java; JavaScript; Matlab; Objective-C; Python; SQL; Swift,C; Java; JavaScript; PHP; SQL; Swift
33637,Student,Montenegro,General,C#; JavaScript; SQL,C#; Java; JavaScript
33646,Student,South Africa,General,C#; Java; SQL,C#; Java; JavaScript; Matlab; PHP; Python; SQL
33667,Student,Tunisia,General,Assembly; C; C++; Go; Haskell; Java; JavaScript; Lua; Matlab; Objective-C; Perl; PHP; Python; Ruby; SQL; Swift; TypeScript,CoffeeScript; Common Lisp; Clojure; Dart; Elixir; Erlang; F#; Groovy; Hack; Julia; R; Rust; Scala; Smalltalk; VB.NET; VBA; Visual Basic 6
33680,Student,Germany,General,C++; Java; JavaScript; Python; SQL,Assembly; C
33714,Student,Philippines,General,PHP; SQL,CoffeeScript; JavaScript; Python; Ruby
33724,Student,Germany,General,C#; Java; SQL,C#; JavaScript; PHP; Python; Ruby; SQL
33737,Student,France,General,C; Python,C; C++; C#; Java; JavaScript
33754,Student,Belarus,General,Java; Perl; Ruby,C; C++; SQL; Swift
33766,Student,Germany,General,C; C#; PHP; SQL,Assembly; C; C++; C#; Java; Objective-C; PHP; SQL
33808,Student,Germany,General,C++; Java; Python,Python
33814,Student,United Kingdom,General,Java; SQL,Groovy; Java; Rust; SQL
33873,Student,I prefer not to say,General,JavaScript; Python,CoffeeScript; Java; JavaScript; PHP; Python; Ruby; SQL; VB.NET; Visual Basic 6
33922,Student,China,General,C; Haskell; Python,Haskell
33925,Student,Serbia,General,C#; Java; JavaScript; Python; SQL,Java; JavaScript; SQL
33953,Student,Greece,General,Assembly; C; Matlab; Python,C; C++; Java; JavaScript; Matlab; PHP; Python; Ruby; SQL
33980,Student,Czech Republic,General,Java; Python,Assembly; C++; Java; Python
34006,Student,Netherlands,General,JavaScript; PHP; SQL,JavaScript; Python; SQL
34013,Student,India,General,C; C++; JavaScript; Objective-C; PHP; Python; SQL,C; C++; Hack; Java; JavaScript; Objective-C; Perl; PHP; Python; SQL
34020,Student,Morocco,General,C; C++; C#; Dart; Java; JavaScript; PHP; Python; SQL; VB.NET; Visual Basic 6,Assembly; CoffeeScript; Clojure; Swift; TypeScript; VBA
34071,Student,India,General,Java; Python,Go; Python; Swift
34076,Student,United Kingdom,General,Java; JavaScript; Ruby,C++
34082,Student,India,General,C; C++; Java,C++
34159,Student,Australia,General,C++; Haskell; Java; SQL,C#; F#; Go; Haskell; Java
34161,Student,Pakistan,General,C++; Java; Matlab; Python; R,C#; Go; Java; JavaScript; Python; R; Ruby; Scala; Swift
34194,Student,Germany,General,JavaScript; TypeScript,C#
34211,Student,United States,General,C#; Java; JavaScript; PHP; Python; SQL,C; Dart
34225,Student,Russian Federation,General,C; C++; JavaScript; PHP; Python; SQL,C; C++; JavaScript; Python; SQL
34258,Student,India,General,JavaScript; PHP; SQL,Java; JavaScript; PHP; SQL
34286,Student,Germany,General,Java; JavaScript,C; Go; Rust
34287,Student,United States,General,C#; Java; JavaScript; SQL,C#; Java; JavaScript; PHP; Python; SQL
34291,Student,Netherlands,General,C++; Java; Python,Java; Python; R
34298,Student,Serbia,General,Java,JavaScript; Python
34332,Student,India,General,C; C++; Java; JavaScript; PHP; Python,Java; JavaScript; Python
34333,Student,Bangladesh,General,PHP; SQL,Java; PHP; Python; SQL
34335,Student,Uganda,General,C#; Java; JavaScript; PHP; TypeScript; VB.NET,C#; Java; PHP; TypeScript; VB.NET
34339,Student,Switzerland,General,C#; Java; JavaScript; Objective-C,Swift
34354,Student,United Kingdom,General,Java; JavaScript; PHP; SQL,JavaScript; PHP; SQL
34362,Student,Georgia,General,JavaScript; Objective-C; PHP; SQL,Assembly; C; Python
34382,Student,France,General,C#; Java; JavaScript; SQL,C#; JavaScript; SQL
34390,Student,United States,General,JavaScript; Lua,C#; JavaScript; PHP; SQL
34391,Student,Singapore,General,JavaScript; Python; Swift,Go; JavaScript; Matlab; Ruby; Swift
34395,Student,India,General,C; C++; SQL,Java; JavaScript; Python; Ruby; Swift
34442,Student,Canada,General,Assembly; C; C++; C#; JavaScript; Lua; PHP; Ruby,C; C++; C#; JavaScript; PHP; Ruby
34459,Student,United Kingdom,General,JavaScript; Python; SQL,C; C++; C#; Java
34491,Student,United States,General,C#; VB.NET,C#
34535,Student,France,General,C; C++; C#; Java; JavaScript; PHP; Python; SQL; Swift,C#; Java; JavaScript; PHP; Python; Ruby; SQL; Swift
34541,Student,United Kingdom,General,C++; C#; JavaScript; Objective-C; SQL; Swift; TypeScript,C++; C#; Java; JavaScript; SQL; Swift; TypeScript
34553,Student,Russian Federation,General,C++; Java,Java; Swift
34564,Student,Hungary,General,JavaScript; SQL,JavaScript; Lua; R; SQL
34569,Student,India,General,C; C++; Java; SQL; Visual Basic 6,C; C++; Java; Python
34589,Student,United Kingdom,General,Assembly; Haskell; Java; JavaScript; PHP; Python; VB.NET,Assembly; C; C++; C#
34596,Student,Lithuania,General,C++; JavaScript; PHP; Python,C++; PHP
34608,Student,United States,General,Java; JavaScript; Python,C++
34655,Student,United States,General,C++; C#,Java
34684,Student,Germany,General,Assembly; C; C++; C#; Lua; PHP,Assembly; C; C++; C#; Go; PHP; Python; Rust; SQL
34685,Student,Italy,General,C++; JavaScript; Python; Swift,C++; JavaScript; Python
34690,Student,Uruguay,General,JavaScript; Ruby,JavaScript
34709,Student,United States,General,Java; Python,Assembly; C; C++; Haskell; PHP; Python; SQL
34711,Student,Germany,General,Java; JavaScript,C; C++; C#; Java
34716,Student,United States,General,Python,C#; Java; Python
34723,Student,United States,General,Python,C++; Java; Python
34733,Student,India,General,Java; Swift,Java; PHP
34753,Student,Pakistan,General,Java; JavaScript; PHP; Ruby; SQL,Python; Ruby; VB.NET
34754,Student,Germany,General,Java,Java; JavaScript; PHP
34762,Student,France,General,C; Java; JavaScript; PHP; Python,Assembly
34788,Student,India,General,C; C++; JavaScript; Matlab; PHP; Python,C++; Matlab; PHP; Python
34829,Student,India,General,C; C++; PHP; SQL,JavaScript; Python; Ruby
34833,Student,Russian Federation,General,C#; Python,Assembly; C++; C#; JavaScript; Lua; Python
34840,Student,United States,General,Assembly; Java,C++; C#
34881,Student,Costa Rica,General,C; Java; JavaScript; Python,C; C++; JavaScript; SQL
34882,Student,United States,General,C++; Java; JavaScript; PHP; Python; SQL; VB.NET,C#; Go; Java; SQL; Swift
34890,Student,Sudan,General,C; C++; C#; Go; Java; Matlab; Perl; PHP; SQL; VB.NET; VBA; Visual Basic 6,Java; Matlab; Objective-C; PHP; Python; SQL; TypeScript
34909,Student,Poland,General,C; C++; C#; Java; Python,Assembly; C; C++; C#; Haskell; Python; Rust
34913,Student,India,General,Assembly; C++; Java; Swift,C++; Java; JavaScript; Objective-C; Python; Swift
34953,Student,Bosnia-Herzegovina,General,Assembly; C; C++; PHP,Java; Ruby; SQL
34956,Student,Italy,General,C++; Java; Python; SQL; VB.NET,C++; C#; Java; JavaScript; PHP; Python; SQL; VB.NET
34960,Student,Austria,General,C; C++; JavaScript; PHP; SQL; VBA,Assembly; C#; Java; Python; TypeScript
34975,Student,Brazil,General,C; C++; JavaScript; PHP; Python; Ruby; SQL,C++; Python; Ruby
34977,Student,Denmark,General,Java; JavaScript; PHP; Python; SQL,C#; JavaScript
34990,Student,Ukraine,General,Python; SQL,Assembly; C#; Go; JavaScript
34991,Student,Poland,General,C++,C++; Java
35007,Student,United States,General,Java; JavaScript,Java; JavaScript; Python; Ruby
35019,Student,United States,General,C; C++; Julia; Matlab; Python,C; C++; Julia; Python; Scala
35026,Student,Canada,General,C++; C#; Python; VBA,C; C++; C#; JavaScript; Python; R
35028,Student,New Zealand,General,Python; SQL,C#
35031,Student,Australia,General,Java; JavaScript; SQL,C; Java; JavaScript; Matlab; Python; SQL
35039,Student,Portugal,General,C++; Matlab,C++; Java; JavaScript; Matlab
35062,Student,United States,General,C; C++; PHP; SQL,Assembly; C; C++; C#; Python; Ruby; SQL
35071,Student,United Kingdom,General,C; C++; Haskell; Java; JavaScript; Matlab; R,JavaScript; Julia; R; SQL
35079,Student,Brazil,General,Assembly; C; Java; Swift,Assembly; C; C++; C#; Java; Swift
35096,Student,Bangladesh,General,JavaScript; PHP; SQL; TypeScript,Java
35098,Student,Portugal,General,Java,C; C++; Java; JavaScript; SQL
35100,Student,New Zealand,General,Assembly; Java; JavaScript; PHP; Python; R; SQL,C; Java; JavaScript; PHP; Python; R
35102,Student,India,General,Go; Java; JavaScript; Python; TypeScript,Go; JavaScript; TypeScript
35124,Student,United States,General,C++; CoffeeScript; Go; Java; JavaScript; Python; Ruby; Rust; TypeScript,C; C++; Go; JavaScript; Perl; Python; Ruby; Rust; Smalltalk
35128,Student,India,General,C; Java; JavaScript; PHP; Python; SQL,C; Java; JavaScript; PHP; SQL
35162,Student,Russian Federation,General,C++; C#; JavaScript; Lua; PHP; SQL,Java; Perl; Python; Ruby
35168,Student,India,General,Assembly; C; C++; C#; Common Lisp; Go; Java; PHP; Python; Visual Basic 6,Ruby; SQL; Swift
35181,Student,Philippines,General,C; C++; C#; Java; PHP; SQL; VB.NET,Assembly; C; C++; C#; Lua; PHP; Python; Ruby; SQL; VBA
35204,Student,United States,General,C++; C#; Java; Python,C++; F#; Java; Python
35230,Student,China,General,Java; Python,C; Go; Java; Python; Swift
35248,Student,India,General,Python,Python; R; Scala
35259,Student,India,General,C; C++; C#; Java; JavaScript; SQL; VB.NET,C#; Groovy; Java; Python; Ruby; Scala; SQL; TypeScript
35273,Student,Indonesia,General,JavaScript; PHP; Python; SQL,JavaScript; PHP; SQL
35274,Student,India,General,Assembly; C; C++; Matlab; Python; SQL,Assembly; C; C++; C#; Matlab; Python; R; Ruby; SQL
35282,Student,Germany,General,Java; SQL,C#; R
35287,Student,Mexico,General,C++; C#; Java; PHP,C#; PHP
35338,Student,Spain,General,C#; Java; JavaScript; PHP; SQL,C++; C#; Java; JavaScript; PHP; SQL
35341,Student,Italy,General,Assembly; C++,C++; Java; Python
35359,Student,France,General,C; Java; JavaScript; PHP,Go; Java; JavaScript; Rust; Scala; TypeScript
35371,Student,Germany,General,C#; Java; JavaScript; SQL; TypeScript,C++; C#; JavaScript; SQL; TypeScript
35373,Student,Norway,General,C; JavaScript; Lua; PHP; SQL,C; C++; Go; Haskell; Lua; Python; Rust; SQL
35378,Student,Spain,General,Java,JavaScript
35383,Student,Czech Republic,General,C++; C#; Python,C#; Python
35387,Student,United States,General,C++; Java; Python,Java; Python
35535,Student,France,General,C; C++; C#; VBA,Java; JavaScript; PHP; SQL
35576,Student,Slovak Republic,General,Assembly; C; C++; Java; JavaScript; PHP; Python,C++; JavaScript; PHP; Python
35596,Student,Germany,General,C#; Java; JavaScript; SQL,PHP
35642,Student,Slovenia,General,Java; PHP; SQL,JavaScript; Python
35648,Student,India,General,Assembly; C; C++; C#; PHP; TypeScript,Java; JavaScript; Objective-C; PHP; TypeScript
35695,Student,United States,General,JavaScript; Lua; PHP; SQL; TypeScript,C#; CoffeeScript; Go; JavaScript; Lua; PHP; SQL; TypeScript
35702,Student,Sweden,General,Assembly; C; C++; Matlab; Python,Assembly; C++; Matlab; Python
35733,Student,India,General,C; C++; Java; PHP,Go; Groovy; Hack; Matlab; Ruby; Swift
35776,Student,Germany,General,JavaScript; PHP; SQL,Hack; Java; JavaScript; PHP; SQL
35782,Student,India,General,C; C++; Java; Objective-C; PHP; Python; SQL,JavaScript; Python; SQL
35786,Student,Germany,General,Java; JavaScript; PHP; SQL,C#
35824,Student,United Kingdom,General,Assembly; Java; JavaScript; PHP; Python; SQL,Java; JavaScript; PHP; SQL
35830,Student,I prefer not to say,General,Java; JavaScript; Matlab; PHP; SQL,C#; JavaScript; Matlab; Python; SQL
35853,Student,Finland,General,C++; C#; JavaScript; Python,C#; JavaScript; Python; Scala
35859,Student,United Kingdom,General,Python,C++; Java
35870,Student,India,General,JavaScript,JavaScript; Ruby
35887,Student,India,General,Java; SQL,Java; JavaScript; Python; SQL
35921,Student,Pakistan,General,Java; PHP; Python; SQL,Assembly; Matlab; Python
35940,Student,India,General,C; C++; JavaScript,Dart; Go; PHP; Python; Ruby; SQL
35941,Student,United Kingdom,General,C#; Python; SQL,PHP
35942,Student,Germany,General,C++; Java; Python,Java; JavaScript; PHP; Rust; SQL
35949,Student,Indonesia,General,C#; Java,C#; Haskell
35973,Student,Poland,General,Assembly; C; C++; C#; JavaScript; Python; Visual Basic 6,C++; C#; Python
35979,Student,Canada,General,C++; JavaScript; PHP; SQL,C++; JavaScript; PHP
36034,Student,United States,General,JavaScript; Matlab; Python; VBA,C++
36036,Student,India,General,C; C++; Java,Assembly; Matlab; Python
36041,Student,United States,General,JavaScript; SQL,Java; PHP; Ruby
36043,Student,Ireland,General,JavaScript; Ruby; SQL,C++; C#; Go; R
36058,Student,India,General,Assembly; C; C#; Java; PHP; SQL,Assembly; C; C#; Java; PHP; SQL; Swift
36065,Student,Poland,General,Go; Java; Python,Go; Java
36089,Student,Netherlands,General,C++; Java; PHP; SQL,C#
36090,Student,Costa Rica,General,C#; Java; JavaScript; PHP; SQL; TypeScript,JavaScript; PHP; TypeScript
36099,Student,Netherlands,General,C#; PHP; SQL,C#; Java; PHP; SQL
36100,Student,United States,General,C#; Java,C; C++; C#; Java; Python; Ruby
36144,Student,Iran,General,C#,C#; Java; Python
36169,Student,Puerto Rico,General,C; C++; Haskell; JavaScript,Assembly; C; C++; Common Lisp; JavaScript
36172,Student,Pakistan,General,JavaScript; Python,C; Lua; PHP; Ruby; SQL; Visual Basic 6
36188,Student,United States,General,Java; JavaScript; PHP; Python; Ruby,C; C++; Go; Java; JavaScript; PHP; Python; Ruby; SQL
36233,Student,Poland,General,C; C#; Java; JavaScript; Python; SQL,C++; Haskell; Ruby; Scala; TypeScript
36250,Student,United Kingdom,General,C; C#; Java; JavaScript; PHP; SQL,C; C++; C#; Java; JavaScript
36267,Student,Denmark,General,C; Erlang; F#; Go; Java; PHP; Python,C; C++; Haskell; Rust
36280,Student,Kenya,General,C++; Java; JavaScript; PHP; Python; SQL,Matlab; Swift
36356,Student,United States,General,C#; JavaScript; Python; SQL,Clojure; F#
36374,Student,United Kingdom,General,C; C++; C#; JavaScript; Matlab; PHP; Python; SQL; VB.NET,C#; JavaScript; PHP; SQL
36389,Student,United Kingdom,General,JavaScript; Python,C++; C#; JavaScript; Python
36420,Student,United States,General,C++; Java; JavaScript,Assembly; Swift; TypeScript
36430,Student,Germany,General,C#; JavaScript; Python; SQL,JavaScript; Lua; Python; R; SQL
36431,Student,United States,General,Java; Lua,Assembly; C#
36447,Student,Poland,General,C#; SQL,C#; F#; Java
36448,Student,Russian Federation,General,C#; JavaScript; Lua; PHP; SQL,C#; PHP; Python; SQL; Swift
36459,Student,Colombia,General,JavaScript,Haskell; JavaScript
36473,Student,United Kingdom,General,C#; Python; SQL,C#; Java; JavaScript; PHP; Python; SQL
36477,Student,United States,General,JavaScript; PHP; Python; SQL,C#; Python; Ruby
36491,Student,Germany,General,C++; C#; Java; JavaScript; Python,C#; Go; Lua; Python
36494,Student,United States,General,C#; Java; PHP; SQL,C#; Go; JavaScript; PHP; Python; SQL
36496,Student,Romania,General,Assembly; C++; JavaScript; Objective-C; Python; Rust,C
36500,Student,United States,General,C++; C#; Python,C++; Java; JavaScript; Python
36503,Student,United Kingdom,General,Java,Swift
36507,Student,United States,General,C++; Java; JavaScript; PHP; Python; SQL,C++; C#; Java; JavaScript; Python
36522,Student,Italy,General,C; Java; Objective-C; PHP; SQL,Java; PHP; SQL
36538,Student,United States,General,Java; JavaScript,C++; JavaScript; Python
36541,Student,United States,General,Java,C; C++; C#; JavaScript; PHP; Python; R; Ruby; SQL
36542,Student,Australia,General,C; Objective-C; PHP; Swift; VB.NET; VBA,Java; PHP; Swift
36549,Student,United States,General,Java; JavaScript; Python; Ruby,Elixir; Go; Hack; Java; JavaScript; Python; Ruby
36595,Student,Tunisia,General,Assembly; C; C#; Java; JavaScript; PHP; SQL,C++; C#; JavaScript; PHP; Python; Ruby; SQL; TypeScript
36600,Student,Canada,General,C++; Python,Python
36608,Student,United Kingdom,General,Java; JavaScript; Python; SQL; Swift,C; C++; C#; Java; JavaScript; Matlab; Perl; PHP; Python; Swift; Visual Basic 6
36625,Student,Mexico,General,C; C++; C#; Java; JavaScript; PHP; Python; SQL,C++; C#; F#; Go; JavaScript; Python; Rust; Swift; TypeScript
36644,Student,United States,General,C#; Elixir; Java,C#; Elixir; Groovy; Java; PHP; Ruby; Scala
36646,Student,Philippines,General,C#; VB.NET,C#; JavaScript; SQL; VB.NET
36655,Student,United States,General,C#; Java; JavaScript; TypeScript,Go; Java; JavaScript; TypeScript
36657,Student,Mexico,General,C#; JavaScript; SQL,C#; Groovy; Java; JavaScript; Objective-C; PHP; Ruby; SQL; Swift
36663,Student,United States,General,C; C++; C#; Elixir; Erlang; Go; Haskell; Java; JavaScript; Matlab; Python; R; Scala; Swift,C++; Haskell; JavaScript; R; Scala; Swift
36666,Student,Argentina,General,C; C++,C; C++; SQL
36677,Student,India,General,C; C#; Objective-C; SQL,PHP; Python; R; SQL
36681,Student,United States,General,JavaScript; Python; R; Swift,Go; Java; JavaScript; PHP; Python; Rust; Swift
36687,Student,United States,General,C; C++; JavaScript; PHP; Python; Scala; Swift,C#; F#; Go; Haskell; Python; Scala; SQL; Swift
36695,Student,India,General,C; C++; Java; JavaScript; Matlab; SQL,Java; JavaScript; Python
36701,Student,India,General,C; C++,PHP; Python
36712,Student,United States,General,Java; JavaScript; PHP; Python,Java; JavaScript; SQL
36714,Student,India,General,C; Python,C; Go; JavaScript; Python; Scala; SQL; Swift
36715,Student,Bangladesh,General,Assembly; C#; Java; JavaScript; PHP,C#; JavaScript; Python
36717,Student,United States,General,C#; JavaScript; Python; SQL,C++; C#; Go; Matlab; Python; R; SQL; Swift; TypeScript
36727,Student,Bangladesh,General,Assembly; C; C++; Java; PHP; SQL,Assembly; C++; Java; SQL
36733,Student,India,General,C,Java; PHP
36749,Student,Iran,General,C#; Java; JavaScript; SQL,C#; Java; JavaScript; SQL; TypeScript
36752,Student,China,General,C; C++; C#; PHP; SQL,Java; JavaScript; Objective-C; PHP
36764,Student,Belgium,General,C#; PHP; Python; Ruby,C#
36772,Student,India,General,Assembly; C; Java; JavaScript; PHP; Python; SQL,C; Erlang; Go; Java; JavaScript; Python; R; SQL
36780,Student,United Kingdom,General,Java; JavaScript; Python,Java; Python
36781,Student,Belgium,General,C#; JavaScript,Java; Swift
36785,Student,Nigeria,General,C; C++; Java,Assembly; C; C++; Java; Lua
36796,Student,Pakistan,General,C; C#; SQL,Assembly; C; C++; C#; Java; Objective-C; PHP; SQL
36798,Student,Uzbekistan,General,C++; C#; Java; SQL,Java; SQL
36806,Student,India,General,C++; Java; JavaScript; PHP,C++; Java; Python
36813,Student,Australia,General,JavaScript; PHP,CoffeeScript; Java; JavaScript; PHP; SQL
36818,Student,India,General,C++; Java; JavaScript; PHP; Python; SQL; TypeScript,Dart; Go; Hack; Java; JavaScript; PHP; Python; Rust; SQL; TypeScript
36825,Student,Hungary,General,C++; Java; SQL,Java; SQL
36828,Student,Singapore,General,Java; JavaScript; Python; SQL,Java; JavaScript
36833,Student,India,General,C; C++; C#; Python,Java; Python
36851,Student,Italy,General,JavaScript; R,C++; R
36860,Student,Brazil,General,C,Assembly; C
36872,Student,India,General,C; C++; Java,CoffeeScript; Java; JavaScript; PHP; Python; R
36889,Student,Australia,General,C; Java; SQL; Swift,Java; SQL
36890,Student,Algeria,General,C++; Java; Matlab; SQL,Assembly; C; PHP; Python; R
36905,Student,Germany,General,JavaScript; Python,JavaScript; PHP; Python; SQL
36906,Student,India,General,JavaScript; PHP,Assembly; C++; Java; Swift
36936,Student,Poland,General,C++; JavaScript,C++; Java; JavaScript; Objective-C; PHP; Swift
36949,Student,Hungary,General,C#; Java; JavaScript; SQL,C#; Haskell; JavaScript; Python; SQL
36955,Student,Germany,General,C; Python; Rust; TypeScript,Rust
36967,Student,Germany,General,C; C++; Common Lisp; Java; JavaScript; PHP; Python,C; C++; Common Lisp; Java; Python; Ruby
36976,Student,Malaysia,General,C; Java; VB.NET,Hack; Python; SQL
36991,Student,United States,General,C; Java; JavaScript; PHP; SQL,C; C++; Java; JavaScript; PHP; SQL
36992,Student,India,General,JavaScript; PHP; Python,C; C++; Python
36998,Student,Ukraine,General,C++; C#; SQL,C#; Clojure; Go; R; SQL; TypeScript
37001,Student,Singapore,General,C; C++; Java; JavaScript; Matlab; Objective-C; PHP; Python; SQL; Swift,C++; CoffeeScript; Go; Groovy; Haskell; Java; JavaScript; Python; Scala; SQL; Swift; TypeScript
37002,Student,India,General,C; Java; JavaScript; PHP; SQL,C; JavaScript; PHP; SQL
37005,Student,Germany,General,C++; C#,C#
37021,Student,Israel,General,C#; Java; Matlab; Python; SQL,Assembly; C#; Java; Lua; Matlab; Python; SQL
37023,Student,Germany,General,Java; JavaScript; PHP; SQL,C; C++; Groovy; Haskell; Matlab; Python; Ruby; Swift
37029,Student,United States,General,VB.NET,C++; JavaScript; Python
37032,Student,India,General,C; C++; JavaScript; PHP; Python; R; Ruby; SQL,C; C++; CoffeeScript; Elixir; Go; Java; Objective-C; Perl; PHP; Python; R; Ruby; SQL; Swift
37033,Student,Algeria,General,Assembly; C; Perl,Assembly; C; C++; JavaScript; Perl; Python
37035,Student,United States,General,C#; JavaScript; Python; VB.NET; Visual Basic 6,C++
37040,Student,United States,General,Java; Ruby,Scala
37041,Student,India,General,Java; JavaScript; PHP; Python; SQL,Java; JavaScript; Python
37049,Student,Bulgaria,General,C++; Haskell; Java; JavaScript; Perl; PHP; SQL,C++; Haskell; Java; JavaScript; PHP; Python; Rust
37056,Student,India,General,Assembly; C; C#; Java; JavaScript; SQL; TypeScript,PHP
37074,Student,United States,General,JavaScript; PHP; Python,Java; JavaScript
37079,Student,United States,General,JavaScript; Objective-C; Swift,JavaScript; Swift
37081,Student,Germany,General,Java; Scala,Java; Rust; Scala
37085,Student,Czech Republic,General,F#; Java,F#; Hack
37095,Student,Canada,General,C#; JavaScript; PHP; SQL,C; C#; JavaScript; SQL
37101,Student,United States,General,Go,C; C++; Go
37103,Student,Italy,General,C; Java; JavaScript; PHP,C; C++; PHP
37107,Student,Qatar,General,Python; Smalltalk,C++; C#; Java; JavaScript; Python
37113,Student,United States,General,Java; JavaScript; Python; SQL; Swift,C++; Java; JavaScript; PHP; Python; Ruby; SQL; Swift
37114,Student,Iran,General,C; C++; Java; Python,C; C++; Common Lisp; Java; Matlab; Python; R; Ruby; SQL
37120,Student,United Kingdom,General,JavaScript; PHP; SQL,C++; Go; JavaScript; PHP; SQL
37125,Student,Hungary,General,C++; Erlang,C; C++; Erlang; Java; SQL
37133,Student,United States,General,VB.NET,C++; C#; Java
37140,Student,Germany,General,C#; Java; Lua; VB.NET,C#; F#; Haskell; PHP; Scala; SQL
37151,Student,United Kingdom,General,C++; C#; Java; JavaScript; SQL,PHP; Python
37158,Student,United States,General,C; Go; JavaScript; Rust,Common Lisp; Erlang; Haskell; Java; Scala
37176,Student,Czech Republic,General,Java; JavaScript; Lua; Python; Ruby; VB.NET,C++; Java; JavaScript; VB.NET
37182,Student,Armenia,General,Java,Java; JavaScript; Scala; SQL
37185,Student,France,General,C; C++; C#; JavaScript; Python; SQL; TypeScript,Assembly; F#; Go; Haskell; Rust; Scala
37190,Student,Switzerland,General,Assembly; Common Lisp; Java; JavaScript; PHP; Python; Scala; SQL; Visual Basic 6,C; C#; Java; PHP; Python; Scala; SQL
37196,Student,United States,General,JavaScript,C++; Java; JavaScript; Python; Ruby
37201,Student,United States,General,JavaScript; PHP; SQL; VB.NET,Java; Python
37210,Student,Canada,General,Java,C#; Go; Java; JavaScript; Python; Ruby; SQL; Swift
37219,Student,Canada,General,C++; Python; R,C++; Python
37225,Student,Belgium,General,Java; SQL,C#; Java; SQL
37227,Student,United States,General,Assembly; C; C++; C#; Go; Java; JavaScript; Lua; Python; Ruby; SQL,C++; Java; Lua
37239,Student,United States,General,C++; C#; PHP,Assembly; C++; C#; JavaScript; PHP
37242,Student,Brazil,General,Java,JavaScript
37247,Student,Australia,General,C++; Java,C; C#; Dart; Go; JavaScript; Lua; PHP; Python; Ruby; SQL; Swift; TypeScript
37248,Student,New Zealand,General,Java; JavaScript,Assembly; C#; Python
37249,Student,Canada,General,Groovy; Java; JavaScript; TypeScript,CoffeeScript; Go; Groovy; Java; TypeScript
37259,Student,Ukraine,General,Common Lisp,Common Lisp; Java; Perl
37284,Student,Italy,General,C; Java; Python; R; SQL; VBA; Visual Basic 6,Lua; Matlab; Perl
37287,Student,United States,General,C#; Java; Python; Swift,C#; Swift
37293,Student,United States,General,JavaScript; PHP; Python,C++; C#; JavaScript; PHP; Python
37294,Student,United States,General,C; Java; JavaScript; PHP; Python; Ruby; SQL; Swift,Assembly; CoffeeScript; Java; JavaScript; Perl; PHP; SQL; TypeScript
37297,Student,India,General,C; Java; Python,JavaScript; Python
37303,Student,Libya,General,C; C++; C#; F#; Java; JavaScript; Matlab; PHP; Python; SQL; VB.NET,Assembly; C; C++; C#; F#; Java; JavaScript; Julia; Matlab; Objective-C; PHP; Python; Ruby; SQL; Swift; VB.NET
37307,Student,Canada,General,C; C++; Java; SQL,C#; Haskell; Objective-C; Swift
37310,Student,United States,General,Java,C++; Objective-C; Python; Swift
37314,Student,United States,General,C++,Assembly; C; C#; Java; JavaScript; Python; SQL
37318,Student,United States,General,C; Java; JavaScript; Python; R,C; Java; Python; R
37326,Student,United States,General,C++; Java; Python,Java; Python
37342,Student,India,General,C++; C#; Java; JavaScript; PHP; SQL,C++; Java; JavaScript; PHP; Python
37344,Student,Indonesia,General,Assembly; C; C#; CoffeeScript; Clojure; Elixir; Go; JavaScript; Lua; Python; TypeScript,Assembly; C; CoffeeScript; Clojure; Go; Lua; Python
37358,Student,Singapore,General,C++; C#; F#; Haskell; Java; JavaScript; PHP; Python; Ruby; SQL,C++; C#; F#; Haskell; SQL
37372,Student,Thailand,General,C#; PHP; Python; R; SQL,Assembly; C; C++; C#; Python
37379,Student,United States,General,C++; C#,Java; PHP; Python; SQL; Swift
37388,Student,United States,General,C; C++; C#; Java; JavaScript; Python; SQL; VB.NET,C; C++; C#; JavaScript; Python; Ruby; SQL; TypeScript; VB.NET
37392,Student,Austria,General,C; C++; Java; JavaScript; Lua; PHP; Ruby; Scala; VB.NET; Visual Basic 6,C; C++; Erlang; Groovy; Java; JavaScript; PHP; Ruby; Scala; SQL
37400,Student,India,General,C; C++; Dart; Haskell; Java; JavaScript; PHP; SQL,C++; JavaScript; Lua; Python; SQL
37403,Student,Turkey,General,C; C++; C#,Assembly
37404,Student,Iran,General,Java,Java; PHP
37418,Student,India,General,C; C++; Java; SQL,C; C++; Haskell; Java; JavaScript; Python
37424,Student,India,General,C; C++; Java; PHP,C++; Java; JavaScript; PHP; Python
37428,Student,Bosnia-Herzegovina,General,C; C++; C#; JavaScript,C; C++; C#; Haskell; JavaScript; PHP; Python; SQL
37434,Student,China,General,Objective-C,C++; Objective-C; Swift
37436,Student,Singapore,General,C#; Java; JavaScript; R; SQL,PHP; Python; Swift
37440,Student,Germany,General,C++; C#; Groovy; Java; JavaScript; Matlab; SQL,Assembly; C; C++; C#; Groovy; Java; JavaScript; Matlab; SQL; Swift
37446,Student,Spain,General,C; Haskell; Python,Assembly; C++; Haskell; JavaScript; Python
37450,Student,Germany,General,C; C#; Java; JavaScript; PHP; SQL,C#
